,"Average Days in Stock","Current","1 - 60","61 - 120","121 - 180","> 180","TOTAL"
"Inventory","","","","","","",
"20-3000-1312 (5"" Frameless C300 Metal Low Cost Config 800x480)",2314.00,0.00,0.00,0.00,0.00,831.17,831.17
"20-3000-1325C4 (SOUND BOARD Custom Sound Board 4 spk support 3A Power)",2314.00,0.00,0.00,0.00,0.00,533.14,533.14
"20-3000-1363 (BUTTON Two 19mm metal buttons white LED ring GPIO assembly 36"" lead...",327.00,0.00,0.00,0.00,0.00,670.14,670.14
"20-3000-1364 (BUTTON One 19mm metal button, white LED ring GPIO assembly 36' lead...",564.00,0.00,0.00,0.00,0.00,104.62,104.62
"20-3000-1370 (BUTTON 19mm metal button White LED 3-pin for V, 36"" with in line co...",423.00,0.00,0.00,0.00,4.26,55.38,59.64
"20-3000-1371 (BUTTON 19mm metal button White LED 3-pin for V, 72 inches with in l...",973.00,0.00,0.00,0.00,0.00,127.95,127.95
"20-3000-1374 (BUTTON 19mm metal button White LED 3-pin for V 54""  in line connect...",143.00,0.00,0.00,0.00,64.96,0.00,64.96
"20-3000-1382 (USB button box with 1.5m USB2.0 cable supports 10x4 pin push button...",1140.00,0.00,0.00,0.00,0.00,115.48,115.48
"20-3000-1387 (Desktop VESA White stand tunnel for cables inside mount)",1249.00,0.00,0.00,0.00,0.00,112.64,112.64
"20-3000-1393 (BUTTON 19mm one metal button, white LED ring, GPIO assembly, 244"" l...",312.00,0.00,0.00,0.00,0.00,40.14,40.14
"20-3000-1404 (10.1"" Repair Kit for LG&P Touch 20-3004-1002)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3000-1406 (10.1"" Repair Kit for Sonos Touch Screen 20-3004-1015)",627.00,0.00,0.00,0.00,0.00,6017.26,6017.26
"20-3000-1419 (BUTTON 19mm Metal Button White LED Ring 4 Pin 24"" Wire)",31.00,0.00,28.73,0.00,0.00,0.00,28.73
"20-3000-1427 (BUTTON 19mm metal button Red LED ring 72” lead 4pin)",1193.00,0.00,0.00,0.00,0.00,1681.75,1681.75
"20-3000-1440 (7"" Flexible LED Strips - 3528120M 24"" Wire)",1515.00,0.00,0.00,0.00,0.00,70.20,70.20
"20-3000-1442 (BUTTON 19mm Touchless Button 1 Button with GPIO Terminal 610mm Wire...",715.00,0.00,0.00,0.00,0.00,418.82,418.82
"20-3000-1447 (LCD for 20-3008-1085)",728.00,0.00,0.00,0.00,0.00,793.50,793.50
"20-3000-1448 (LCD for 20-3008-1095)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3000-1449 (LCD for 20-3008-1101)",762.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3000-1450 (V-Series companion boards for BrightSign Built-In 10.1""  15.6"" Fini...",1637.00,0.00,0.00,0.00,0.00,481.84,481.84
"20-3000-1453 (BUTTON 19mm Touchless Button with 3pin Connector 610mm Wire with Li...",1213.00,0.00,0.00,0.00,0.00,257.16,257.16
"20-3000-1454 (BUTTON Touchless Button Control Board 3pin Connections)",478.00,0.00,0.00,0.00,0.00,18.00,18.00
"20-3000-1455 (BUTTON 19mm Touchless Button, 2 Buttons with GPIO Terminal 610mm Wi...",1614.00,0.00,0.00,0.00,0.00,50.75,50.75
"20-3000-1460 (BUTTON 19mm Touchless Button 4pin Connector 24” wire)",1450.00,0.00,0.00,0.00,0.00,572.00,572.00
"20-3000-1462 (Audio board 3 outpu, standard push button compatible)",254.00,0.00,0.00,0.00,0.00,112.26,112.26
"20-3000-1464 (Audio board 3 output touchless sensor compatible)",1395.00,0.00,0.00,0.00,0.00,930.80,930.80
"20-3000-1465 (Audio board, 6 output, touchless sensor compatible)",1400.00,0.00,0.00,0.00,0.00,1058.94,1058.94
"20-3000-1466 (BUTTON 19mm Touchless Button 3pin Connector 1016mm wire break/conne...",1523.00,0.00,0.00,0.00,0.00,39.60,39.60
"20-3000-1469 (Flex LED strip: 12” LED 3528 120/M cool white 24” wire tail 2 pin c...",1205.00,0.00,0.00,0.00,0.00,37.50,37.50
"20-3000-1486 (WiFi and Antenna for R Series)",10.00,0.00,50.38,0.00,0.00,0.00,50.38
"20-3000-1487 (BUTTON 19mm two metal buttons, white LED ring, GPIO assembly, 244"" ...",1037.00,0.00,0.00,0.00,0.00,7.87,7.87
"20-3000-1488 (R Series 4K Media Player Box, 12V/2A, w/o Core Board)",949.00,0.00,0.00,0.00,0.00,144.36,144.36
"20-3000-1501 (19mm (three pcs) Button with Full size 12-pin GPIO for BrightSign P...",927.00,0.00,0.00,0.00,0.00,7.90,7.90
"20-3000-1503 (BUTTON 19mm Button with Full size 12-pin GPIO for BrightSign Purple...",60.00,0.00,17.50,0.00,0.00,0.00,17.50
"20-3000-1504 (BUTTON 19mm Contactless Button, 36” (915mm) Lead for V-Series)",263.00,0.00,0.00,0.00,0.00,99.00,99.00
"20-3000-1515 (2.5” 4ohm/3W Speaker LS660010)",501.00,0.00,0.00,0.00,0.00,23.00,23.00
"20-3000-1521 (Update Cable for Daisy Chain)",379.00,0.00,0.00,0.00,0.00,36.54,36.54
"20-3000-1524 (Enclosure for Intel Board)",219.00,0.00,0.00,0.00,0.00,246.29,246.29
"20-3000-1527 (Ceiling Mount Kit for Dual FlexOS 46"" and Dual FlexOS 55"")",297.00,0.00,0.00,0.00,0.00,149.46,149.46
"20-3000-1531 (Glass Mounting Bracket for Visix 10.1"")",81.00,0.00,0.00,89.92,0.00,0.00,89.92
"20-3000-1535 (Replacement LCD Kit, 20-3008-1049)",192.00,0.00,0.00,0.00,0.00,60.00,60.00
"20-3000-1538 (Board 20-3001-0204 with the PoE module attached)",32.00,0.00,220.00,0.00,0.00,0.00,220.00
"20-3000-1542 (Power Adapter, Type-G power cord with waterproof connector for 55in...",122.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3000-1544 (LCD for 20-3018-1016)",87.00,0.00,0.00,58.74,0.00,0.00,58.74
"20-3000-1547 (BUTTON Capacitive Touch Button, 36” lead w/ break in center)",59.00,0.00,8.00,0.00,0.00,0.00,8.00
"20-3000-1548 (Power Adapter 480W power supply for 20-3018-0027)",50.00,0.00,380.00,0.00,0.00,0.00,380.00
"20-3000-1549 (Power Adapter 185W power supply for 20-3018-0027)",50.00,0.00,124.00,0.00,0.00,0.00,124.00
"20-3000-1550 (Companion board with PoE for 20-3018-1015)",32.00,0.00,297.00,0.00,0.00,0.00,297.00
"20-3001-0089 (SONOS companion boards for 10.1"" 20-3004-1015)",1670.00,0.00,0.00,0.00,0.00,752.40,752.40
"20-3001-0118 (V-Series companion boards for BrightSign Built-In  21.5"" . 32.0"" Fi...",1262.00,0.00,0.00,0.00,0.00,1189.00,1189.00
"20-3001-0162 (19"" UW Dual Daisy chain main board for 20-3002-1172 units)",522.00,0.00,0.00,0.00,0.00,72.21,72.21
"20-3001-0176 (Semi-finished product, BF-HS124-V56-V1.2 after welding, Finished)",421.00,0.00,0.00,0.00,0.00,627.30,627.30
"20-3001-0192 (Semi-finished product, BF-HS124-V56-V1.2 post-weld Finished, custom...",254.00,0.00,210.00,0.00,0.00,210.00,420.00
"20-3001-0200 (Semi-finished product, BF-V56-ITE6661-V2.4 after welding, with audi...",450.00,0.00,0.00,0.00,0.00,247.80,247.80
"20-3001-0204 (Semi-finished product, BF-HS124-V56-V1.2 after welding, Finished, P...",394.00,0.00,0.00,0.00,0.00,840.00,840.00
"20-3001-0221 (Companion board for 20-3012-1039)",388.00,0.00,0.00,0.00,0.00,223.50,223.50
"20-3001-0222 (Semi-finished product, BF-HS144-UHDLH-1.2 post-welding, V Bye One, ...",270.00,0.00,595.40,0.00,0.00,1161.03,1756.43
"20-3001-0224 (Semi-finished product, BF-HS144-UHDLH-1.2 post-welding, LVDS, Finis...",273.00,0.00,618.00,0.00,0.00,1236.00,1854.00
"20-3001-0234 (Semi-finished products, BF-MST9UHL-ITE6661-V1.2 after welding, opti...",450.00,0.00,0.00,0.00,0.00,727.40,727.40
"20-3001-0236 (Semi-finished products, BF-HS124-V56-V2.0 post-welding, customized ...",476.00,0.00,0.00,0.00,0.00,209.10,209.10
"20-3001-0238 (Semi-finished products,BF-MST9UHL-ITE6661-V1.2, 35” custom)",269.00,0.00,0.00,0.00,0.00,363.70,363.70
